Date,Open,High,Low,Close,Adj Close,Volume
2015-11-04,567.970215,602.808899,547.444275,576.431091,468.376617,13300016
2015-11-05,573.146301,585.104919,527.856018,532.136230,432.384918,12032712
2015-11-06,533.927917,545.374878,511.232910,522.978577,424.944000,14520763
2015-11-09,521.883606,542.289185,512.734985,513.621887,417.341217,11576046
2015-11-10,516.110413,516.110413,479.480011,489.483612,397.727753,16315992
2015-11-11,487.592407,505.559204,479.231110,490.479004,398.536591,9601291
2015-11-12,490.279999,490.329712,443.297485,447.826508,363.879456,15810751
2015-11-13,447.926086,469.177704,445.004608,454.097504,368.974945,11468625
2015-11-16,451.260590,472.263397,447.926086,451.907593,367.195587,9349559
2015-11-17,457.880005,467.385986,425.728790,429.013611,348.593109,13908062
2015-11-18,425.231110,450.514099,415.277191,447.378601,363.515533,12413503
2015-11-19,453.898407,466.788696,440.659698,448.672607,364.566956,9905835
2015-11-20,452.554596,462.408997,442.501190,444.442200,361.129547,7670046
2015-11-23,429.809906,445.935303,422.991486,439.116791,356.802460,9542124
2015-11-24,437.673492,458.377686,435.483704,449.916809,365.577942,11409403
2015-11-25,447.776703,451.284485,408.508606,415.277191,337.431671,16024255
2015-11-26,416.222809,434.189697,415.326996,433.791504,352.475433,10647929
2015-11-27,429.312195,429.312195,391.387787,398.305786,323.641602,14507734
2015-11-30,397.758301,408.558289,383.673492,406.766602,330.516449,12292063
2015-12-01,410.698395,415.127899,399.301208,404.427490,328.615784,9874326
2015-12-02,405.771210,406.467987,389.745392,395.717804,321.538788,8989350
2015-12-03,393.179504,402.337097,383.461487,385.067108,312.884613,11245422
2015-12-04,383.225586,399.201599,370.086395,374.316895,304.149567,14853129
2015-12-07,375.909485,379.741699,365.706696,367.299408,298.447540,8077578
2015-12-08,358.589691,363.467102,321.162994,322.158386,261.768402,26567038
2015-12-09,332.460693,332.659698,276.320587,318.226593,258.573639,26745140
2015-12-10,320.515991,332.062500,312.154694,317.181396,257.724396,21290782
2015-12-11,314.842194,319.819214,289.808105,291.599792,236.938156,21726839
2015-12-14,292.197113,303.594299,277.515106,279.505798,227.111237,15898025
2015-12-15,283.786011,291.613800,268.407196,269.850494,219.265823,16565057
2015-12-16,260.344604,284.396210,260.294800,276.917786,225.008331,15761297
2015-12-17,280.799805,285.328888,260.444092,262.335297,213.159424,12343410
2015-12-18,263.032104,281.695709,260.792511,277.365692,225.372284,16734062
2015-12-21,278.609985,296.825592,275.181885,279.207214,226.868591,11188406
2015-12-22,282.989685,296.134796,281.197998,295.133514,239.809464,7721740
2015-12-23,299.911407,323.233398,299.911407,321.859711,261.525696,11212150
2015-12-24,321.859711,329.723297,321.859711,326.538086,265.327057,2288740
2015-12-29,321.113190,321.587006,300.458801,305.933502,248.584915,9520464
2015-12-30,303.196198,313.005707,294.934387,300.409088,244.096054,6337991
2015-12-31,300.010895,302.300293,295.531586,298.069885,242.195389,1709405
2016-01-04,291.002594,293.100891,271.492889,276.569397,224.725281,13906206
2016-01-05,277.116913,290.355591,274.180511,281.894806,229.052383,10700023
2016-01-06,279.704895,280.700287,258.154694,269.153809,218.699768,13958061
2016-01-07,249.843201,251.286499,236.554703,239.540894,194.637894,21108078
2016-01-08,241.730698,249.146393,226.849594,228.143600,185.377090,14858974
2016-01-11,224.908600,242.825699,220.479095,229.387894,186.388123,17201429
2016-01-12,228.940002,250.589706,221.375000,231.428406,188.046143,19490265
2016-01-13,234.912292,247.155594,226.053299,230.383301,187.196945,18443871
2016-01-14,229.935303,270.646912,226.949203,261.738098,212.674149,22895917
2016-01-15,250.639496,255.367599,229.238602,231.677307,188.248398,21001462
2016-01-18,231.627502,241.631195,226.302200,231.577698,188.167450,12378090
2016-01-19,241.233002,260.444092,235.907700,237.699402,193.141602,18888692
2016-01-20,220.976807,227.099503,217.741806,220.031204,178.785400,15988034
2016-01-21,221.623795,249.046906,216.198898,246.856995,200.582581,24811606
2016-01-22,254.372192,259.498505,223.415497,225.655197,183.355148,24123973
2016-01-25,228.541794,250.010406,215.914307,225.555603,183.274231,14314041
2016-01-26,221.275406,253.376801,214.556595,252.182297,204.909622,21987817
2016-01-27,250.838593,254.272705,237.002594,252.580505,205.233200,16547182
2016-01-28,258.303986,291.400787,254.670807,274.628387,223.148132,23235807
2016-01-29,282.492004,286.523285,260.891998,276.171295,224.401794,15235940
2016-02-01,278.759308,285.121796,262.484589,272.786896,221.651794,12761333
2016-02-02,270.198914,271.642212,243.572205,250.987900,203.939117,13538482
2016-02-03,249.793396,274.528900,244.667099,272.438599,221.368805,12881284
2016-02-04,303.594299,341.120605,287.220093,326.786896,265.529236,27725698
2016-02-05,315.539001,374.814606,309.317810,361.675415,293.877808,39384664
2016-02-08,365.657013,374.764801,341.916901,374.366608,304.189941,17747166
2016-02-09,371.529785,371.529785,330.221008,332.261597,269.977692,15789558
2016-02-10,338.084595,348.635803,313.647797,325.492889,264.477783,12580654
2016-02-11,322.108612,329.872589,305.037598,314.493805,255.540543,15211656
2016-02-12,322.257904,372.226501,322.257904,372.226501,302.451050,15436769
2016-02-15,382.727905,408.110413,378.248688,391.238495,317.899109,14570103
2016-02-16,416.720490,421.149994,358.340790,396.115906,321.862244,19728068
2016-02-17,398.156494,465.892914,393.826508,465.892914,378.559265,23976417
2016-02-18,465.843109,466.539886,426.226501,430.009003,349.401917,28475537
2016-02-19,430.257904,440.261505,422.493805,434.637604,353.162872,12140927
2016-02-22,443.546295,486.596985,443.546295,481.520508,391.257385,11953324
2016-02-23,465.644012,474.751801,446.233887,451.011810,366.467682,11373763
2016-02-24,447.527893,448.075409,398.007202,407.861603,331.406158,14075194
2016-02-25,421.697510,445.736206,414.331604,420.204407,341.435242,11594804
2016-02-26,427.022797,452.803497,423.439392,448.523285,364.445618,13444964
2016-02-29,442.501190,486.447693,434.438507,478.036591,388.426575,15124771
2016-03-01,484.656006,513.124207,474.229309,489.035706,397.363800,11994002
2016-03-02,507.649506,527.059692,495.555511,521.684570,423.892578,12224054
2016-03-03,529.946289,559.032593,520.689209,530.543518,431.090851,16641840
2016-03-04,540.596985,596.438416,540.596985,589.271606,478.810028,16138438
2016-03-07,582.502991,627.395081,558.816589,625.205200,508.007782,20720842
2016-03-08,606.491882,607.288208,526.065308,528.453186,429.392365,19953340
2016-03-09,524.172974,547.962891,500.880890,527.856018,428.907074,14567445
2016-03-10,530.244873,543.284485,487.642212,500.482697,406.665039,13664866
2016-03-11,512.128784,521.895630,491.972107,513.223694,417.017700,7490893
2016-03-14,515.413574,549.655029,510.635712,543.981323,442.009674,12231472
2016-03-15,511.631104,513.721375,476.195190,485.203491,394.250000,13608717
2016-03-16,487.542603,502.672607,477.538910,490.429291,398.496246,6703951
2016-03-17,517.205322,545.673523,517.205322,538.407104,437.480347,17657901
2016-03-18,547.465210,561.101990,535.299500,552.840271,449.207947,18014925
2016-03-21,546.370300,558.016296,529.448608,546.967529,444.436066,5460111
2016-03-22,543.184998,554.731506,532.832886,550.750000,447.509521,6110096
2016-03-23,546.171204,554.731506,505.559204,521.087280,423.407227,11400559
2016-03-24,498.292908,506.355499,477.787811,498.491913,405.047455,12713057
2016-03-29,504.464294,511.232910,467.485504,476.891907,387.496399,8926828
2016-03-30,489.782288,543.184998,489.782288,533.231079,433.274658,13945530
2016-03-31,525.566589,551.645813,507.450500,549.555481,446.538910,13954595
2016-04-01,540.696472,557.717712,515.612671,535.918579,435.458374,9629890
2016-04-04,535.619995,556.224609,528.950928,544.976685,442.818451,7601596
2016-04-05,535.520508,535.520508,508.545410,523.277222,425.186676,10754161
2016-04-06,527.258728,544.379517,499.984985,520.091919,422.598389,10424852
2016-04-07,524.869812,545.573914,502.075287,503.767487,409.334045,11540659
2016-04-08,507.151794,547.465210,501.478088,544.678101,442.575775,9177368
2016-04-11,542.488220,583.498413,540.596985,582.403381,473.229340,10084585
2016-04-12,584.593323,638.045776,580.014526,635.756409,516.581116,16310902
2016-04-13,649.293701,707.090088,649.293701,706.031006,573.682434,19575465
2016-04-14,700.755493,706.031006,665.916809,687.019104,558.234314,12769678
2016-04-15,673.481689,686.820007,659.048584,675.173889,548.609619,8181592
2016-04-18,654.171082,694.185913,639.041199,690.403381,560.984253,7499187
2016-04-19,699.959106,749.728699,694.151001,749.031921,608.622620,13698806
2016-04-20,746.543518,802.982117,726.257385,788.349915,640.570313,16637822
2016-04-21,794.521301,810.845703,727.133301,743.855896,604.416870,16685808
2016-04-22,736.987671,740.571106,708.320374,729.422729,592.689331,10700825
2016-04-25,727.630981,727.630981,674.875305,675.970215,549.256653,11320134
2016-04-26,666.912109,682.937927,654.967529,664.125122,539.631958,11829437
2016-04-27,654.071594,704.537903,652.943787,693.688171,563.653320,8522017
2016-04-28,701.750793,749.728699,697.470703,749.728699,609.188843,11944310
2016-04-29,741.765625,775.111206,741.168274,759.881714,617.438538,12947283
2016-05-03,737.584900,746.045776,658.948975,662.632019,538.418701,12697408
2016-05-04,654.171082,667.907471,624.707581,640.235718,520.220764,13108252
2016-05-05,645.909424,669.445374,633.865173,651.583130,529.441040,7644760
2016-05-06,647.502014,651.085388,607.487305,646.407104,525.235291,9564970
2016-05-09,621.621826,631.874390,554.134277,556.921387,452.524017,13798607
2016-05-10,562.794189,596.438416,552.641174,583.100220,473.795563,13496979
2016-05-11,584.991394,621.621826,584.991394,614.455017,499.272766,10516934
2016-05-12,606.790527,611.170227,560.604370,572.349976,465.060547,12977307
2016-05-13,565.780396,589.570190,558.414490,575.535217,467.648651,9386415
2016-05-16,589.868896,619.830078,589.570190,606.690979,492.964172,8631608
2016-05-17,614.853210,644.515808,610.174805,625.802490,508.493073,11698672
2016-05-18,598.429199,610.672485,584.960571,603.306580,490.214111,11763270
2016-05-19,573.843079,583.896484,554.432922,576.630188,468.538300,12869955
2016-05-20,592.556396,613.260620,590.067871,597.533386,485.523132,9748299
2016-05-23,591.262390,597.632874,571.852295,595.642090,483.986359,9535975
2016-05-24,593.651306,612.165588,587.081787,605.695618,492.155273,7427782
2016-05-25,612.563782,619.432007,592.854980,617.341675,501.618286,7198988
2016-05-26,627.096497,646.108521,622.318604,626.300171,508.897491,6941218
2016-05-27,632.073425,638.643005,605.297424,609.179382,494.986053,6138647
2016-05-31,616.843994,621.522278,597.334290,597.334290,485.361420,9353581
2016-06-01,584.294678,590.167480,569.363770,589.371216,478.891022,8762668
2016-06-02,589.769287,598.329712,578.322327,584.792419,475.170532,6290378
2016-06-03,601.614502,617.043030,587.081787,615.052307,499.758057,9400544
2016-06-06,625.105713,696.176697,625.105713,683.435608,555.322693,14117693
2016-06-07,684.829224,707.225525,660.028992,662.432922,538.257019,9319865
2016-06-08,662.034729,704.836609,661.437500,694.285400,564.138672,7848826
2016-06-09,691.199707,698.346619,659.048584,662.930603,538.661377,6458545
2016-06-10,656.460510,666.812622,635.358215,639.538879,519.654541,6413586
2016-06-13,629.585022,640.932373,622.318604,632.471619,513.912048,7665036
2016-06-14,618.934326,628.091919,594.945374,596.737122,484.876221,7532932
2016-06-15,607.188721,637.448608,606.790527,628.091919,510.353333,6629669
2016-06-16,617.938904,626.598816,595.144409,609.577576,495.309601,7995629
2016-06-17,610.772095,646.208008,610.772095,633.566528,514.801819,9886946
2016-06-20,662.930603,667.111206,643.524414,666.912109,541.896484,8348509
2016-06-21,652.976685,660.043884,634.860474,655.266113,532.433655,5751345
2016-06-22,663.030090,675.870728,654.071594,667.409790,542.300842,6454497
2016-06-23,669.997925,696.574829,663.313782,691.498291,561.874023,6649388
2016-06-24,576.331482,676.567383,576.331482,655.962830,532.999756,12151941
2016-06-27,662.432922,682.141602,620.228271,626.997009,509.463684,10809090
2016-06-28,646.407104,654.370178,637.050415,641.927795,521.595642,9358241
2016-06-29,660.541626,693.787720,654.768372,693.688171,563.653320,7517053
2016-06-30,693.787720,730.020020,676.069702,723.549927,587.917297,10614376
2016-07-01,730.318604,755.402405,710.609802,754.506592,613.071045,6125518
2016-07-04,774.314880,782.361572,750.358826,760.478882,617.923767,4161384
2016-07-05,755.402405,760.877075,716.880798,736.390503,598.350891,6863854
2016-07-06,727.630981,757.492798,708.619019,726.834717,590.586365,6597659
2016-07-07,741.367371,774.414429,739.729004,743.059570,603.769897,8603547
2016-07-08,740.869690,760.478882,733.802429,741.566528,602.556763,7416105
2016-07-11,755.701111,806.266907,755.701111,805.171997,654.238953,8375903
2016-07-12,808.556274,832.744324,795.715820,826.672485,671.709167,10669764
2016-07-13,828.165527,852.851196,633.623291,808.456787,656.907959,10287281
2016-07-14,828.265076,849.367371,816.220825,839.513000,682.142639,8875548
2016-07-15,831.848511,838.318481,817.315796,832.246582,676.238403,8036341
2016-07-18,816.220825,829.957214,804.495117,828.165527,672.922241,5869270
2016-07-19,818.908386,819.704712,791.236511,809.850281,658.040405,6020483
2016-07-20,776.405212,789.444824,722.255920,770.830994,626.335388,14540928
2016-07-21,785.761902,820.899170,765.555420,784.069702,637.092407,13469884
2016-07-22,777.898315,786.558228,759.583130,772.125000,627.386841,4913681
2016-07-25,777.599670,788.847595,764.460510,772.224609,627.467712,5161749
2016-07-26,777.699219,789.146179,761.275208,778.495483,632.563171,4758150
2016-07-27,785.363708,805.570190,783.970215,795.516724,646.393677,4159243
2016-07-28,827.866882,855.638306,814.155396,838.716675,681.495605,14305226
2016-07-29,844.390381,845.087219,809.352600,826.672485,671.709167,7366025
2016-08-01,845.087219,863.800598,827.408997,844.888123,686.510071,6177743
2016-08-02,846.082581,850.064209,817.913025,831.151672,675.348694,7964753
